Rk,Season,Tm,Lg,G,W,L,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,OFGM,OFGA,OFTM,OFTA,O3PM,O3PA,OppORB,OppDRB,OppAsst,OppSTL,OppBlk,OppTOV,OppPF
76,2002-03,CLE,NBA,82,17,65,2850,6746,293,896,1502,2012,1118,2542,3660,1712,636,521,1501,1864,3072,6786,1712,2219,428,1197,932,2491,1972,802,486,1112,1709
73,2002-03,DAL,NBA,82,60,22,3161,6982,636,1668,1486,1793,912,2544,3456,1837,665,449,949,1730,2926,6687,1477,2032,477,1401,1045,2681,1781,546,318,1259,1744
229,2002-03,DEN,NBA,82,17,65,2689,6544,229,824,1294,1850,1112,2363,3475,1737,712,422,1514,2056,2696,6087,1768,2337,420,1134,861,2443,1764,742,532,1339,1788
158,2002-03,DET,NBA,82,50,32,2700,6277,533,1488,1559,2021,883,2445,3328,1620,556,468,1104,1748,2744,6269,1413,1895,289,839,859,2528,1500,568,344,1098,1903
70,2002-03,GSW,NBA,82,38,44,3061,6941,425,1235,1853,2382,1284,2546,3830,1712,594,506,1295,1786,3240,7175,1575,2084,438,1177,1204,2388,1934,710,490,1083,1937
57,2002-03,HOU,NBA,82,43,39,2840,6461,439,1267,1569,2044,1024,2564,3588,1506,594,493,1276,1602,2891,6681,1399,1805,386,1113,979,2353,1683,663,378,1041,1794
28,2002-03,IND,NBA,82,48,34,2911,6608,379,1119,1739,2271,1004,2622,3626,1910,696,443,1210,1811,2860,6690,1527,1992,407,1197,1006,2458,1696,621,506,1208,1922
140,2002-03,LAC,NBA,82,27,55,2835,6490,390,1178,1633,2177,1008,2462,3470,1605,574,461,1291,1784,3035,6787,1507,1946,454,1244,1046,2460,1840,652,418,1099,1843
67,2002-03,LAL,NBA,82,50,32,3091,6856,486,1367,1562,2129,1078,2554,3632,1909,639,470,1192,1874,2976,6725,1622,2133,465,1223,958,2494,1753,644,308,1134,1915
138,2002-03,MEM,NBA,82,28,54,3049,6743,467,1279,1430,1936,943,2466,3409,1892,651,500,1262,1678,3224,7008,1381,1819,431,1188,1126,2555,1991,714,424,1172,1781
139,2002-03,MIA,NBA,82,25,57,2688,6517,348,1100,1292,1689,948,2464,3412,1501,592,324,1167,1856,2713,6208,1598,2129,406,1149,872,2587,1482,626,437,1117,1671
224,2002-03,MIL,NBA,82,42,40,3045,6670,585,1526,1483,1911,876,2367,3243,1823,622,344,1044,1820,3043,6642,1574,2114,479,1278,1022,2540,1892,543,322,1118,1685
34,2002-03,MIN,NBA,82,51,31,3172,6809,296,804,1406,1826,959,2614,3573,2070,553,433,1124,1704,3005,6873,1394,1853,469,1346,974,2444,1871,571,398,1064,1686
86,2002-03,NJN,NBA,82,49,33,2906,6585,346,1041,1662,2195,991,2528,3519,1887,717,374,1212,1772,2757,6461,1453,1941,425,1185,932,2461,1607,693,421,1298,1877
130,2002-03,NOH,NBA,82,47,35,2914,6695,404,1075,1467,1910,1097,2475,3572,1807,656,394,1212,1769,2857,6518,1474,1925,338,1001,909,2368,1630,647,427,1159,1754
219,2002-03,NYK,NBA,82,37,45,2967,6725,606,1582,1320,1620,842,2376,3218,1800,579,255,1149,1888,2961,6478,1691,2193,358,1053,935,2613,1732,627,297,1133,1630
203,2002-03,ORL,NBA,82,42,40,2947,6763,568,1590,1616,2079,958,2392,3350,1676,696,300,1177,1888,3007,6602,1648,2150,405,1212,970,2596,1837,643,407,1285,1824
